Make Nats?,School,SONT 2022,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
TRUE,"Troy H.S. Fullerton, CA",77.35183935,,,,,,,,,,,,63.93998254,,,,,,,119.2606106,,,,,100.6330823,,,,,,,,,,101.9781078,,,,,
TRUE,"Acton-Boxborough Regional H.S. Acton, MA",51.26002488,,,,,,,,,,,,,,,,,,,,,,,,107.653995,,,,,,90.34167722,,127.1332781,,,3.495874769,,,,
TRUE,"Mountain View H.S. Mountain View, CA",79.1341398,,,,,,,,59.95705178,,,,,,,,,,,83.8551168,,,16.03819164,,103.4440623,,,,,,,,,,82.24040953,,,,,
FALSE,Lexington H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,41.33144452,,54.12406564,,,105.9209325,,,76.56890614,,,43.75266655,,90.99304805,,
TRUE,"New Trier H.S. Winnetka, IL",54.17068876,,,,,,44.46162103,,49.00335963,,,,,,,,,,,,,,,,65.66130193,,,,45.64075433,,,,,96.93050155,,,,,,100.9510613
TRUE,"Solon H.S. Solon, OH",66.30157659,,,,,,,,,,,45.36338232,,,,,,,,,,,,,,,,,104.5173274,,,,,,,13.08520149,72.65774231,,,67.67049167
TRUE,"Mason H.S. Mason, OH",80.2434969,,,,,,,,,,,63.11427106,,,,,,,,,,,,,65.4292832,,,,57.74437978,,,,,,,,98.2225035,,,
TRUE,"Montgomery H.S. Skillman, NJ",46.41110361,,,,,55.01915819,,,,,,,,,,,,,,,,,,,68.8345247,,80.84354109,,,,,,,,,,,,93.69091993,
TRUE,"Adlai E. Stevenson H.S. Lincolnshire, IL",65.79351853,,,,,,62.53942299,,49.72048197,,,,,,,50.79502993,,,,,,,,,,,,,73.6037517,,,,,,,,,,81.91555841,
FALSE,"West Windsor-Plainsboro H.S. North Plainsboro, NJ",,,,,,,,,,,,,,,48.26547867,,,,54.61545801,,,,,,95.44581002,,,,,,,,,,,,,,74.95273595,
TRUE,"Marquette University H.S. Milwaukee, WI",74.66134059,,,,,,36.48133008,,19.15920828,,,,,,,60.03048992,,,,,,,,,55.6050665,,,,,,,,,74.31338452,,,62.76941052,,,72.44723226
TRUE,"Seven Lakes H.S. Katy, TX",52.35398883,,43.08759032,,26.91456263,,,,,,,,,,,,,,,,,,,,95.9403479,,,,,,,,,,,,,,,
TRUE,"Harriton H.S. Bryn Mawr, PA",36.77110993,,,,,,,,,,45.99093274,,,,41.83008151,,,,,,,,,,80.85802246,,,,,,,,,,,,,,62.46061329,
TRUE,"Cumberland Valley H.S. Mechanicsburg, PA",35.26100274,5.607020805,,,,,,,,,26.36422896,,,,61.62467366,,,,,,,67.71107166,,,,,,,48.16466701,,,,,,,6.853221415,,,50.30384963,
FALSE,"West Windsor-Plainsboro H.S. South West Windsor, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,77.88585056,,,,,,,,,,,,71.38355805,
TRUE,"Carmel H.S. Carmel, IN",52.67517894,,,,,,,,,,,,,,,,,,,,,72.68982693,,,,,,,,,,,,,,11.14429622,63.14303796,,,
TRUE,Great Neck South H.S. NY,37.2496927,,,,,,,,,,,,,,46.01308966,,,,62.75986842,,,,,,,,,,,,,,,,,53.60341312,,,53.53766853,
TRUE,"Ward Melville H.S. East Setauket, NY",43.58403131,,,26.09053921,,,,,24.67965812,,,,,,,,,,54.20170454,,,,,,52.01260434,,,,,,,,,,,10.62130202,,,63.78956251,
TRUE,"William G. Enloe H.S. Raleigh, NC",59.83313009,,,,,,,,,,,,,,,,,,,,,,,,45.83288897,,,,,,,,,,,41.66447111,,,59.01790232,
TRUE,Jordan H.S. TX,,,29.82987022,,52.3610582,,,,,35.66141908,,,,,,,,,,,,,,,,,,,,,,,,,38.62807114,46.41105642,,,,
FALSE,"Syosset H.S. Syosset, NY",,19.04271217,,9.508213999,,34.84546685,,,,,,,,,,,,,,,,16.2062565,,,55.77255164,,,,,16.15743038,5.091720938,,7.453610332,,,,,,51.69154203,
FALSE,"Munster H.S. Munster, IN",,,,,,,26.97197863,,19.71508473,,,,,,,,,,,,,38.31711807,,,,,,,,,,,,,,,45.33346315,,,55.47761029
TRUE,"Brookwood H.S. Snellville, GA",40.21571039,,,,,,,,23.48548111,,,,,,,,,,,,,,,,,,60.82514044,,,,,,,,,,,,,
FALSE,"Lower Merion H.S. Ardmore, PA",,,,,,34.1622224,,,,,,,,,30.00853674,,,,,,,25.09090473,,,47.47817217,,,,,,,,,,,,,,50.8154142,
FALSE,"Glen A. Wilson H.S. Hacienda Heights, CA",,,,,,,,12.13411707,29.45866706,,,,,,,,,,,,,,51.29195252,,,,,35.09883326,,,,,,,42.84794446,,,,,
FALSE,Lynbrook H.S. CA,,,,,,,,,,,,,,,,,,,,36.0183052,,,48.11457493,,,,,,,,,26.09528514,,,,45.48974513,,,,
TRUE,"TJHSST Alexandria, VA",34.00417492,,,,,,,,32.25537596,,,,,,,,,,,,,,,57.81986479,,,,,,,,,,,,,,,,
FALSE,"Stuyvesant H.S. New York, NY",,,,16.89801763,,40.83453147,,,,,,,,,,,,,32.22804054,,,,,,48.22001861,,33.6138934,,,,,,,,,,,,,
FALSE,Jericho H.S. NY,,,,40.2631778,,,,,,,,,,,,,,,49.68489583,,,,,,,,,,,,,,,,,28.64432388,,,,
TRUE,"Centennial H.S. Ellicott City, MD",27.60789122,,,,,,,,,,,,,,,,8.647217105,,,,,,,35.6645895,,,,,,,,,,,,,,,48.5130977,
TRUE,duPont Manual H.S. KY,29.10526837,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29290833,,,,,,,35.52784358,,,,
FALSE,"Castro Valley H.S. Castro Valley, CA",,6.96043962,,,,,,,,,,,,,,,,,,32.52562106,,,16.47559687,,,,,29.29620356,,,,7.083005966,,,48.10288105,7.464318928,,,,
FALSE,Centerville H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29290833,,,,,,,,,,,
FALSE,"University H.S. Irvine, CA",,,,,,,,18.61483868,37.06435928,,,,,,,,,,,,,,,,,,,46.57345182,,,,,,,,,,,,
TRUE,Troy H.S. MI,,,,,,,,,,,,45.72057431,,,,,,,,,,,,,,,,,,,,,,,,22.74487256,36.08173598,,,
FALSE,"Athens Area H.S. Athens, PA",,,,,,21.68804991,,,,,,,,,,,,,23.07943548,,,28.57172388,,,,34.55223369,,,,,,,,,,,,37.52290641,,
FALSE,Mission San Jose H.S. CA,,,,,,,,,,,,,,,,,,,,,,,40.27368124,,,,,,,,,,,,40.62872822,,,,,
FALSE,William P. Clements H.S. TX,30.50108053,,26.44011224,,22.4988922,,,,,14.77683111,,,,,,,,,,,,,,,,,,,,,,,,,,40.11458925,,,,
FALSE,"Palo Alto H.S. Palo Alto, CA",,,,,,,,7.690637577,,,,,,,,,,,,26.05207512,,,,,,,,,,,,,,,33.65614119,38.92222354,,,,
FALSE,"Chaminade H.S. Mineola, NY",,,,,,20.10315395,,,10.46478317,,,,,,,,,,,,,,,,,24.64726004,,,,,,,39.40388152,,,,,,30.59295345,
FALSE,Liberal Arts and Science Academy TX,,,16.2708383,,8.971520876,,,,,19.24177288,,,,,,,,23.4452626,,,,,,,38.02153418,,,,,,,,,,33.5454302,14.32216194,,,,
FALSE,University of Chicago Laboratory Schools H.S. IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.46906719
TRUE,"Grand Haven H.S. Grand Haven, MI",41.57895481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"Temple City H.S. Temple City, CA",,,,,,,,,,,,,26.1088262,,,,,,,,,,,,,,,18.39356578,,,,,,,41.28668333,,,,,
TRUE,"NCSSM Durham, NC",40.69219985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Ed W. Clark H.S. Las Vegas, NV",24.92323416,,,,,,,,,,,,,,,,,,,,,,,,28.53079683,,,22.01654086,,,,,,,31.37787933,,,,25.66874519,
FALSE,Townsend Harris H.S. NY,,,,,,,,,,,,,,,,,,,20.85896501,,,,,,,,40.16754557,,,,,,,,,18.42448973,,,,
